AÑO JUDICIAL;"TÍTULO GENERAL  
(MATERIA DEL RECURSO)";"TÍTULO ESPECIFICO 
(SUMILLA)";FUENTE LIBRO
1871-1872;---;Reconocimiento y pago de la deuda;Anales Judiciales del Perú  1871-1872
1871-1872;---;Incompetencia de los tribunales nacionales para conocer en causas relativas á bienes raíces situados en el extranjero;Anales Judiciales del Perú  1871-1872
1871-1872;---;Excepción de cosa juzgada ;Anales Judiciales del Perú  1871-1872
1871-1872;---;Denuncias de pertenencias de petróleo;Anales Judiciales del Perú  1871-1872
1871-1872;---;La concesión implícita del término de la distancia para la actuación de una prueba testimonial, no da lugar al recurso de nulidad;Anales Judiciales del Perú  1871-1872
1871-1872;---;Subarriendo contra pacto expreso;Anales Judiciales del Perú  1871-1872
1871-1872;---;Reconocimiento de la deuda pública ;Anales Judiciales del Perú  1871-1872
1871-1872;---;Posesión;Anales Judiciales del Perú  1871-1872
1871-1872;---;No es causa de nulidad de lo obrado, la circunstancia de que no hayan salido al juicio todos los herederos en el caso de exijirse el cumplimiento de una obligación hipotecaria ;Anales Judiciales del Perú  1871-1872
1871-1872;---;Caso en que puede pasarse al plenario sin la formalidad de la prisión ;Anales Judiciales del Perú  1871-1872
1871-1872;---;Pueblos establecidos en terrenos de propiedad particular.- Derechos y obligaciones de los ocupantes conforme á la ley de 19 de Noviembre de 1839;Anales Judiciales del Perú  1871-1872
1871-1872;---;Naturaleza de un contrato;Anales Judiciales del Perú  1871-1872
1871-1872;---;Interdicción por causa de demencia.- Modo de actuar las pruebas para comprobar el hecho. - El presunto demente no puede ser interrogado por el que solicita la declaratoria de incapacidad;Anales Judiciales del Perú  1871-1872
1871-1872;---;El reconocimiento que en testamento hace un padre de su hijo natural, produce sus efectos legales aun en el caso de que se revoque en codicilo posterior semejante reconocimiento;Anales Judiciales del Perú  1871-1872
1871-1872;---;Insubsistencia de los actuado, por corresponder el conocimiento de la causa al tribunal de alzadas, y no a la Corte Superior;Anales Judiciales del Perú  1871-1872
1871-1872;---;"Querella de despojo contra el Gobierno por la clausura de la imprenta de ""El Nacional""";Anales Judiciales del Perú  1871-1872
1871-1872;---;El auto por el que se declara fundada la acción de tercería de excluyente de dominio, no constituye cosa juzgada;Anales Judiciales del Perú  1871-1872
1871-1872;---;Mandamiento de prisión en forma;Anales Judiciales del Perú  1871-1872
1871-1872;---;Personería del sustituto del apoderado;Anales Judiciales del Perú  1871-1872
1871-1872;---;Injurias por medio de caricaturas ;Anales Judiciales del Perú  1871-1872
1871-1872;---;No procede el recurso de nulidad contra el auto que distribuye entre los herederos los frutos de los bienes pro indiviso puestos en depósito;Anales Judiciales del Perú  1871-1872
1871-1872;---;En la sucesión de parientes naturales, el más próximo excluye al más remoto si no concurren hermanos con sobrinos;Anales Judiciales del Perú  1871-1872
1871-1872;---;El auto de recepción á prueba en causas al parecer de puro derecho, no presta mérito para interposición del recurso de nulidad;Anales Judiciales del Perú  1871-1872
1871-1872;---;El delito de peculado cometido por jefes de la gendarmería, está sujeto á la jurisdicción ordinaria;Anales Judiciales del Perú  1871-1872
1871-1872;---;Cantidad de soles;Anales Judiciales del Perú  1871-1872
1871-1872;---;Nulidad de la disolución de una compañía con prescidencia de uno de los interesados, y modo de proceder en tales casos;Anales Judiciales del Perú  1871-1872
1871-1872;---;Robo;Anales Judiciales del Perú  1871-1872
1871-1872;---;Las Beneficencias tienen personería bastante para administrar los bienes y rentas de los establecimientos de caridad, salvo lo dispuesto por los fundadores de ellos;Anales Judiciales del Perú  1871-1872
1871-1872;---;No por ser injunta la pena de azotes impuesta á un soldado queda exento éste de responsabilidad por el delito que originó el castigo.- Responsabilidad de ambos;Anales Judiciales del Perú  1871-1872
1871-1872;---;Homicidio;Anales Judiciales del Perú  1871-1872
1871-1872;---;Vendida una casa en remate público, habiéndose advertido, en las bases, que estaba ligada á un contrato de locación celebrado bajo el imperio de la antigua legislación ¿está ó no obligado el subastador á respetar semejante contrato?;Anales Judiciales del Perú  1871-1872
1871-1872;---;Comiso;Anales Judiciales del Perú  1871-1872
1871-1872;---;Sobreseimiento;Anales Judiciales del Perú  1871-1872
1871-1872;---;No es lícito resolver, en la forma de un artículo, lo que constituye la materia de la demanda;Anales Judiciales del Perú  1871-1872
1871-1872;---;Ineficacia de un desistimiento defectuoso;Anales Judiciales del Perú  1871-1872
1871-1872;---;Nulidad de un auto, por ser contrario á otro ya ejecutoriado;Anales Judiciales del Perú  1871-1872
1871-1872;---;Excepción de jurisdicción;Anales Judiciales del Perú  1871-1872
1871-1872;---;Soltura en fiado ;Anales Judiciales del Perú  1871-1872
1871-1872;---;No habiendo contradicción de parte á la división de bienes, debe procederse llanamente á ésta;Anales Judiciales del Perú  1871-1872
1871-1872;---;La patente industrial exijida á la Empresa del Agua, no da lugar á la acción de despojo;Anales Judiciales del Perú  1871-1872
1873-1874-1875;----;En el testamento cerrado puede ser testigo el pariente en 2° grado de afinidad del testador sin que se invalide el instrumento otorgado por éste;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Insubsistencia por resolverse un punto no apelado;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Responsabilidad de la mujer casada en las deudas del marido. Excepción.;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;La cosa agena de que se dispone para dedicarla al servicio público debe ser indemnizada y el acto no es delictuoso;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;El cuerpo del delito puede consistir en el mismo delito cometido y estimarse como prueba bastante para la imposición de la pena;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Adquisición del dominio por la posesión de más de veinte años que la ley señala para adquirir por prescripción....;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;"Irresponsabilidad en el “homicidio necesario"" en el causado contra el ex-preside11te de Bolivia general Melgarejo";Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Es nulo el contrato de venta de bienes de menores si no ha precedido la tasacion, el remate y demás formalidades...;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Puede oponerse la excepción de jurisdicción ante el juez ordinario por uno de los cónyuges á quien se sigue juicio de divorcio ante el juez eclesiástico. No procede la de personería en el juicio por lesiones entre los mismos cónyuges.......;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;La municipalidad de Lima procede con facultad legal bastante al suprimir las acequias del interior de las casas, consultando la higiene pública.......;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;El traslado de la demanda no da mérito á la intervención, retención y embargo de los bienes del deudor. Su único efecto legal es anular la enagenación y gravámenes impuestos después del emplazamiento.....;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Procede el mandamiento de embargo en el íntegro del sueldo que disfruta el deudor ejecutado.......;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;La demora indebida en la presentación del recurso de nulidad ante la Corte Suprema hace ilegal el recurso....;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;No procede el retracto en el traspaso que el acreedor hace de su crédito...;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;No son identidades del concurso las especies que no se encuentran en poder del síndico........;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;La venta de un bien testamentario hecho por el albacea con autorización bastante queda consumada legalmente......;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;La oposición que se hace á la división de bienes solicitada por interesados en ellos debe sustanciarse en la vía ordinaria....;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;El juez del lugar donde se cometió el delito es el competente para juzgar al reo......;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Responsabilidad de los relatores de las cortes que defienden pleitos......;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Reclamo indebido de la consignación del guano de Inglaterra ....;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Insubsistencia por recaer el fallo sobre punto que no ha sido materia de la demanda.....;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Son distintos actos que dan lugar a distintos derechos la adjudicación de una cosa por compensación y la donación......;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;No se puede rescindir el contrato de arrendamiento por falta de pago si no se ha requerido al arrendatario para que lo verifique;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Concurriendo en el intestado de la ascendiente varios herederos con distintos títulos puede darse posesión de los bienes bajo de inventario a los que lo soliciten sin perjuicio de tercero..;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Para el amparo en la cuasi posesión de hijo lejítimo debe probarse la existencia de los requisitos señalados por el código civil.....;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;El aviso de despedida al arrendatario no le obliga á pagar el mayor arrendamiento alzado, si no ha consentido en el alza...;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;El gravamen hipotecario persigue á la cosa sobre que recae cualquiera que sea el título con que la adquiera el nuevo propietario....;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;La posesión territorial por más de un año es título bastante para no ser desposeído ni sumaria ni administrativamente y da derecho al poseedor para que se le restituya ese título por la acción de despojo.....;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Corresponde al depositario de bienes el medio por ciento de la masa depositada y el cuatro por ciento por recaudación..... ;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Resultando contenciosa la demanda contra el gobierno por obligaciones emanadas de un contrato á su favor, no procede la ejecución por la vía de apremio y pago.........;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Es nulo por falta de jurisdicción el fallo de la Corte Superior revocado en la apelación de la sentencia del juez revisor motivada por la demanda de menor cuantía...;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Opuestas varias excepciones a la demanda para que se sustancie por su orden, se incurre en nulidad, si no se sigue este procedimiento........;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Sucesión de patronato de familia;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Pena de penitenciaría por homicidio;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;En el juicio arbitral de partición de herencia, opuesta la excepción de personería de uno de los interesados, debe sustanciarse de preferencia al pronunciamiento del laudo que ha recaído....;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Nulidad de transacción;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;No hay lugar á la excepción de jurisdicción cuando son distintas las acciones entabladas entre las mismas partes;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Presentados los títulos de propiedad de un inmueble denunciado queda desestimada la demanda....;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;La insuficiencia de bienes para pagar las deudas es causa de quiebra.....;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Garantía á los derechos de menores....;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Los herederos del insano deben pagar como representantes de los derechos y obligaciones causados por éste, los gastos hechos en su alimentación;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Sustracción de autos.......;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;En el juicio posesorio no debe ventilarse el derecho de propiedad de la cosa materia del interdicto......;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Fianzas por responsabilidad a favor del fisco;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Reparos en las cuentas por la diversidad de moneda en que se han hecho....;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Pena de siete años de penitenciaría por homicidio frustrado;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;El que causa la muerte de otro sin intención de matar, por imprudencia tenteraria, sufrirá como pena penitenciaría en segundo grado término medio;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;La muerte causada en una riña entre varios produce responsabilidad penal en el sobreviviente, si no se ha esclarecido en plena prueba quién causó las heridas que determinaron la muerte. Las circunstancias agravantes ó atenuantes aumentan ó disminuyen la pena por términos y no por grados;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;"El fallecimiento despues de setenta días de sufridas las lesiones no dá mérito á la imputación de delito; no se presume que la muerte sea motivada por éstas....";Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;No hay despojo en la adjudicación de dote que hace el juez si el administrador de ella no se ha opuesto .......;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Los balcones cerrados ó abiertos de las casas de Lima son considerados servidumbres.....;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;El dueño anterior de una nave es responsable de sus reparaciones hechas en estas con posterioridad a la fecha de su transferencia, si esta no se hizo por escritura pública.;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;El derecho de redimir los censos corresponde en común a todos los propietarios del fundo en que grava.....;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Para ministrar la posesión pro indiviso de los bienes de un intestado, debe esclarecerse préviamente por la vía sumaria la masa de bienes que tenía al tiempo de su fallecimiento....;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Excención de la pena para el delito cometido en defensa propia.....;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Siendo la embriaguez circunstancia'atenuante se desestima en la aplicación de la pena cuando igualınente concurre otra circunstancia agravante del delito....;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;No es necesario acreditar personería para pedir la reunión del consejo de familia en favor de los menores de edad....;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Prescripción del derecho de acusar...;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Es nulo el auto que impone pena á uno de los cónyuges por delito cometido en la persona del otro cónyuge, si no ha habido acusación de parte de uno de ellos...;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Prescripción del derecho de pedir la división y partición de bienes hereditarios entre coherederos...;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;El reconocimiento de vales simples no puede hacerse ante el juez privativo......;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Los censos deben registrarse para que dén mérito á la acción real contra terceros poseedores de las fincas que gravan...;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Son nulas las escrituras de arrendamiento otorgadas por los síndicos de los conventos si no han obtenido el acuerdo de la prelada…;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Procede el amparo en posesión de los balcones de las casas en la forma que tuvieron antes de la publicación de las ordenanzas municipales respectivas...;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Homicidio por imprudencia temeraria..;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;No se infiere despojo al propietario de fincas urbanas á quien la municipalidad manda destruir sus balcones, si no prueba que ha poseído la construcción antes de la publicación de las respectivas ordenanzas…;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Pena de penitenciaría en primer grado al fratricida por celos...;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Ejecución para el pago de seguros.;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Asesinato del presidente de la república coronel Balta-Condena.-Disminución de la pena...;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Cuasi posesión del estado de hija natural de un presbítero;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Doctrina del ministerio fiscal sobre el delito de imprenta - Improcedencia.....;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;No es causal de recusación á los inagistrados el hecho de que éstos sean accionistas de sociedades anónimas en que también lo son los interesados en el juicio...;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Aplicación de la pena de muerte por homicidio en despoblado con el objeto de robar..;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Mesadas de los clérigos exclaustrados...;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;El poder ejecutivo no infiere despojo cuando separa á los empleados de la administración...;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Fundación de obras pías...;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;En el cómputo del término para que se declare el abandono de la instancia debe incluirse los días feriados.....;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;La jurisdicción del juez ó tribunal en un juicio de quiebra es extensiva álos incidentés que se relacionen con la quiebra....;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Juicio sobre la consignación del guano en la Gran Bretaña;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Competencia de jurisdicción en el juicio sobre quiebra mercantil.;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;En la jurisdicción militar conforme al código penal se castiga la simple insubordinación con reclusión por el término de un año....;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;El reo de varios delitos debe ser juzgado en el lugar en que está cumpliendo su condena por cualquiera de ellos, si éste merece mayor o igual pena que los demás.;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Restitución de un capital sin interés por parte del fisco entregado á la caja fiscal á título de contribución impuesta por gobierno dictatorial.......;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Fundación de patronato.;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Reclamación del capitán del buque “Talismán”-Su captura se considera como presa lejítima por el objeto revolucionario de su expedición y arribo á las playas del Perú......;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Tercería excluyente de dominio;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;La división y partición de herencia debe hacerse con arreglo á las leyes peruanas si hay en ella bienes raíces ubicados en el Perú.- Los tribunales del Perú son los únicos competentes para decidir en las cuestiones que se suscitan al efecto …;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Har despojo al conceder al interventor mayores facultades de las que designa el artículo 560 del código de enjuiciamiento civil..;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Juicio seguido sobre el contrato del ferrocarril urbano de Lima entre la empresa y la municipalidad..;Anales Judiciales del Perú  1873-1874-1875
1873-1874-1875;---;Célebre asesinato del secretario de la legación chilena cometido por Enriqueta Godoy.......;Anales Judiciales del Perú  1873-1874-1875
